70.12.113.172 - - [11/Jun/2019:14:16:06 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:16:07 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:17:22 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4746
70.12.113.172 - - [11/Jun/2019:14:17:23 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:17:25 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:17:25 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:18:06 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:18:07 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:18:30 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4748
70.12.113.172 - - [11/Jun/2019:14:18:30 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:19:30 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4746
70.12.113.172 - - [11/Jun/2019:14:19:31 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:23:19 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4746
70.12.113.172 - - [11/Jun/2019:14:23:20 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:23:23 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:23:23 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:23:41 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:23:42 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:23:56 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:23:58 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:27:36 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4791
70.12.113.172 - - [11/Jun/2019:14:27:37 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:27:43 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:27:44 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:27:55 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:27:55 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:18 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4791
70.12.113.172 - - [11/Jun/2019:14:28:19 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:32 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4790
70.12.113.172 - - [11/Jun/2019:14:28:32 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:36 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:28:37 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:37 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:28:38 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:47 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:28:48 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:49 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:28:50 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:28:58 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:28:58 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:01 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:29:02 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:11 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:29:11 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:12 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:29:12 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:24 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:29:24 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:33 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4793
70.12.113.172 - - [11/Jun/2019:14:29:33 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:34 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:29:34 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:37 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4793
70.12.113.172 - - [11/Jun/2019:14:29:37 +0900] "GET /edu/cssexam/burningsun.jpg HTTP/1.1" 200 6384
70.12.113.172 - - [11/Jun/2019:14:29:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
70.12.113.172 - - [11/Jun/2019:14:29:38 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:29:38 +0900] "GET /edu/images/cloud.png HTTP/1.1" 200 69925
70.12.113.172 - - [11/Jun/2019:14:29:40 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:29:40 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:07 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4798
70.12.113.172 - - [11/Jun/2019:14:30:07 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:23 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4792
70.12.113.172 - - [11/Jun/2019:14:30:23 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:34 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4792
70.12.113.172 - - [11/Jun/2019:14:30:34 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:36 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:37 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:37 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:38 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:42 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 4792
70.12.113.172 - - [11/Jun/2019:14:30:42 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:43 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:43 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:44 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:44 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:49 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:49 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [11/Jun/2019:14:30:49 +0900] "GET /edu/exam_all.html HTTP/1.1" 304 -
70.12.113.172 - - [11/Jun/2019:14:30:50 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
