127.0.0.1 - - [06/Jun/2019:11:26:53 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/mycard.html HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn1.png HTTP/1.1" 200 12080
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn2.png HTTP/1.1" 200 31027
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn4.png HTTP/1.1" 200 7834
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn3.png HTTP/1.1" 200 8663
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn5.png HTTP/1.1" 200 14822
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn6.png HTTP/1.1" 200 14489
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn10.png HTTP/1.1" 200 12731
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn8.png HTTP/1.1" 200 10651
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn9.png HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn16.png HTTP/1.1" 200 71700
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn12.png HTTP/1.1" 200 10141
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn7.png HTTP/1.1" 200 17051
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn11.png HTTP/1.1" 200 8870
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn15.png HTTP/1.1" 200 38372
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn14.png HTTP/1.1" 200 15484
0:0:0:0:0:0:0:1 - - [06/Jun/2019:11:29:45 +0900] "GET /edu/jsexam/bonobono/bn13.png HTTP/1.1" 200 6636
