127.0.0.1 - - [12/Jun/2019:09:12:57 +0900] "GET / HTTP/1.1" 404 1115
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 10534
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn1.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn2.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 200 2634292
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn3.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn5.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn4.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn6.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn9.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn7.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn10.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn8.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn11.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn13.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn16.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn14.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn15.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:02 +0900] "GET /edu/jsexam/bonobono/bn12.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
70.12.113.172 - - [12/Jun/2019:09:13:04 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:13:04 +0900] "GET /edu/images/cloud.png HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:23 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 10520
70.12.113.172 - - [12/Jun/2019:09:13:23 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:13:23 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:14:42 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 10473
70.12.113.172 - - [12/Jun/2019:09:14:42 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:14:44 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:15:16 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11369
70.12.113.172 - - [12/Jun/2019:09:15:16 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:15:17 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:15:40 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11389
70.12.113.172 - - [12/Jun/2019:09:15:40 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:15:41 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:16:33 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11369
70.12.113.172 - - [12/Jun/2019:09:16:33 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:16:34 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:19:00 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11356
70.12.113.172 - - [12/Jun/2019:09:19:00 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:19:01 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:19:56 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11562
70.12.113.172 - - [12/Jun/2019:09:19:56 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:19:58 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:20:56 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11437
70.12.113.172 - - [12/Jun/2019:09:20:56 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:20:56 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
70.12.113.172 - - [12/Jun/2019:09:21:54 +0900] "GET /edu/exam_all.html HTTP/1.1" 200 11373
70.12.113.172 - - [12/Jun/2019:09:21:54 +0900] "GET /edu/cssexam/bong.jpg HTTP/1.1" 304 -
70.12.113.172 - - [12/Jun/2019:09:21:56 +0900] "GET /edu/ajaxexam/content/weather.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:24:41 +0900] "GET /edu/ajaxexam/exam9.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:24:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:24:42 +0900] "GET /edu/images/duke_luau.png HTTP/1.1" 200 63534
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:24:59 +0900] "GET /edu/ajaxexam/jqexam/exam9.html HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:25:24 +0900] "GET /edu/ajaxexam/jqexam/exam9.html HTTP/1.1" 404 1157
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:25:37 +0900] "GET /edu/jqexam/domaccess/exam9.html HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:27:06 +0900] "GET /edu/jqexam/domaccess/exam9.html HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:28:42 +0900] "GET /edu/jqexam/domaccess/exam9.html HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:31:26 +0900] "GET /edu/jqexam/domaccess/exam9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:32:58 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:45 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:46 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:46 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:46 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:47 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:47 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:47 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:47 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:47 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:48 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:48 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:52 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:53 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:53 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:53 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:34:53 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:35:22 +0900] "GET /edu/jqexam/domaccess/exam10.html HTTP/1.1" 200 1281
